recid	D	earnings	prevearn	edu
300755	1	0	2400	12
300757	1	7872	2800	11
300758	1	26037	0	10
300759	0	10350	2500	8
300762	0	6150	1500	8
300763	1	960	0	12
300764	0	24333	1500	10
300766	1	10652	4000	10
300767	1	21175	128	12
300769	0	11117	2300	10
300771	1	3345	8000	11
300772	1	61813	31000	11
300776	1	21572	1751	13
300777	1	3732	918	11
300778	1	60	200	13
300779	0	27660	8004	12
300780	1	45400	3900	13
300784	0	26314	638	12
300788	1	3330	3920	12
300792	0	34531	3500	12
300793	1	15218	16872	14
300794	1	22662	2508	12
300795	1	7501	6803	12
300796	0	7838	0	9
300798	1	0	2000	8
300799	0	18101	10000	15
300802	1	1839	0	12
300803	1	567	0	10
300804	1	21569	5400	8
300806	1	62019	15000	12
300807	1	12597	4500	12
300810	1	39383	6500	12
300811	0	1779	1000	13
300812	0	23466	2400	14
300814	1	22411	10125	17
300816	1	24049	0	12
300819	0	8315	6300	12
300820	0	18615	192	12
300822	1	25669	2330	12
300823	0	29961	11000	12
300825	0	1971	12000	12
300826	1	981	550	8
300828	1	47142	12000	12
300830	1	63075	8850	12
300831	1	0	0	8
300833	0	0	0	13
300835	0	1074	0	10
300838	1	5376	4985	14
300840	1	10185	0	12
300841	1	60033	11500	14
300842	1	17863	4000	10
300843	1	150	0	12
300851	1	28314	1900	9
300855	0	15850	600	12
300857	1	7512	3000	13
300858	1	17976	0	12
300859	1	32178	12000	11
300862	1	23437	2500	9
300866	1	17413	1800	14
300867	0	5916	1312	12
300868	1	36010	0	8
300871	1	56520	7000	14
300872	1	5850	500	12
300876	1	39102	2600	12
300877	1	20358	997	11
300880	0	0	0	12
300884	1	63719	17000	12
300885	0	23725	0	12
300888	1	828	8050	11
300892	1	26906	3472	11
300894	0	24	0	8
300895	1	5918	0	15
300898	1	36669	11000	13
300901	1	4069	2000	10
300903	1	555	0	12
300905	1	31273	3000	11
300906	1	30439	1104	14
300909	1	13755	3300	12
300911	0	21310	3000	12
300913	1	26440	13000	11
300916	1	5865	0	14
300918	1	13825	0	8
300920	1	26013	6000	14
300923	0	702	2080	8
300924	1	7086	5887	12
300929	0	4281	1500	8
300936	0	43006	1300	12
300938	1	34587	3000	11
300939	1	0	8800	12
300940	1	10191	4200	10
300941	0	11948	8419	12
300942	0	4389	1030	12
300943	1	0	400	11
300944	1	0	0	9
300948	1	21609	900	12
300950	1	2625	100	10
300951	1	3723	550	8
300953	1	15223	3289	12
300956	1	2343	3301	12
300958	1	14466	11960	9
300959	1	663	17000	9
300961	1	49363	6602	10
300970	1	62132	4000	10
300974	1	25791	3000	12
300975	1	13484	1750	10
300981	1	29339	450	10
300983	1	225	0	12
300996	1	10942	0	11
300999	1	10728	4227	10
301000	1	5953	11000	9
301005	0	0	1540	12
301006	1	24971	9000	11
301007	1	1479	5000	10
301008	0	45465	3000	11
301012	1	36091	15028	12
301013	0	798	8000	12
301014	0	40727	15000	16
301020	0	1379	0	12
301022	1	0	0	9
301023	1	2934	0	9
301024	0	13	94	11
301025	1	651	0	11
301028	1	0	0	8
301029	1	20196	400	15
301031	1	352	6220	11
301032	1	11261	2300	11
301042	0	5337	0	11
301043	1	12747	700	10
301044	0	48024	3900	10
301045	0	0	0	12
301046	1	9931	28	12
301047	1	0	30000	17
301048	1	15649	0	9
301049	1	636	35000	16
301050	1	29302	1400	12
301051	1	52197	10200	12
301054	0	1541	5400	9
301059	1	19773	150	12
301062	0	0	0	8
301066	0	489	4500	12
301067	1	10251	0	10
301068	1	18	2000	10
301072	0	0	774	12
301073	1	0	0	14
301074	1	9351	1173	12
301078	0	2691	400	12
301081	0	17537	0	10
301084	0	2074	0	9
301085	1	12305	16000	11
301086	1	10375	6000	12
301088	0	13965	134	12
301089	1	28635	3793	12
301091	1	13024	8000	11
301092	1	12714	5189	12
301093	1	15828	3981	13
301094	0	40418	0	15
301095	1	11591	108	10
301096	1	51541	1200	13
301102	1	5337	0	12
301105	1	17263	0	12
301106	1	61398	25183	12
301107	0	4943	2400	8
301109	1	46737	200	12
301110	0	58942	8000	10
301114	1	25212	1800	10
301115	0	3170	0	8
301117	1	5337	0	16
301120	1	19094	5136	11
301123	1	36153	8500	12
301126	1	16363	98	12
301127	1	33590	800	17
301128	0	0	0	12
301129	1	6822	3129	11
301131	1	0	1050	12
301136	1	52129	14000	12
301138	1	12412	3804	12
301143	1	0	398	15
301145	1	13881	586	12
301149	1	15109	7000	13
301152	1	8187	700	12
301154	1	23555	0	12
301156	1	7260	40	9
301159	1	0	15933	12
301162	1	10242	0	9
301163	1	10423	5000	9
301164	1	27295	0	14
301165	1	63416	0	13
301168	0	5835	200	12
301169	0	25173	8700	12
301170	0	25648	2100	10
301171	0	10416	6000	13
301173	1	462	2340	9
301176	1	96	500	10
301177	1	3297	12088	12
301182	1	14120	5200	10
301183	1	7612	1620	12
301184	0	6621	30000	12
301185	0	11712	9000	12
301186	0	25703	5000	10
301188	1	18161	9932	10
301189	1	0	0	11
301192	1	33687	12480	10
301196	0	45264	7080	10
301199	0	1368	3228	11
301200	1	1128	2664	11
301201	1	59739	3000	11
301202	0	34585	2000	13
301203	1	7634	0	10
301214	0	15720	2560	12
301215	1	62799	19609	12
301218	0	38833	11000	11
301220	1	594	400	13
301230	0	2172	12000	12
301232	1	19707	400	13
301234	0	883	2000	10
301236	0	25305	5907	12
301238	0	44727	4800	12
301239	1	3303	8284	9
301240	1	20079	5060	12
301241	1	2053	2308	9
301243	1	1644	4000	14
301247	1	51410	6000	11
301250	0	0	2200	12
301252	1	606	2000	12
301253	1	0	3220	12
301255	1	13506	3560	12
301256	1	20396	500	12
301264	1	37388	10600	12
301266	0	0	12	8
301268	1	18393	6000	14
301270	1	19358	1800	15
301273	1	13821	0	12
301274	0	65805	12000	10
301275	1	40756	0	8
301278	1	41892	1735	10
301279	1	19099	400	12
301283	1	29417	12000	14
301284	1	44804	0	12
301285	0	27842	4686	12
301289	0	0	0	12
301290	0	7767	300	12
301293	0	0	1000	14
301295	1	11477	4473	11
301297	1	26223	9000	12
301298	1	15651	0	14
301299	1	8581	6000	12
301306	1	12633	1200	12
301307	1	0	0	10
301309	1	26463	7014	13
301310	1	7065	0	11
301312	1	2109	550	13
301317	1	15794	9000	8
301319	1	4728	2600	8
301323	1	1702	0	8
301332	1	9546	5884	12
301334	1	41997	11495	10
301335	0	30168	8000	14
301336	0	31242	25000	14
301337	1	867	10000	12
301343	0	6477	0	10
301346	1	134091	0	11
301347	0	10014	5000	13
301350	0	17047	1100	12
301352	1	13443	6000	12
301353	1	27450	5647	9
301354	1	1758	4000	10
301356	1	504	3840	9
301357	1	3876	0	11
301360	1	28692	5000	12
301362	1	19327	2283	12
301363	0	41170	14000	9
301365	1	20512	4800	12
301366	0	864	0	16
301367	0	21267	6000	8
301371	1	18758	7000	12
301373	0	11198	4244	12
301374	1	7579	3000	12
301376	1	22761	1680	8
301378	1	0	0	11
301379	1	10099	3500	11
301380	1	35529	0	12
301381	1	25077	0	10
301386	0	31690	4500	9
301387	0	28974	0	9
301388	0	1525	360	8
301390	1	35382	5600	9
301391	1	813	4100	10
301396	1	2061	50	12
301398	0	0	8000	12
301399	1	28860	8007	12
301402	1	50766	6000	12
301406	1	35373	6000	12
301407	1	29377	11117	9
301408	1	0	0	11
301410	1	565	10080	13
301411	1	21623	1500	9
301412	0	15181	14000	9
301414	1	68468	13000	11
301421	1	20474	7000	12
301422	1	9472	0	15
301424	0	0	100	12
301425	0	18587	2000	12
301426	1	91697	0	14
301427	0	12197	0	8
301428	1	23144	42	12
301431	1	0	14	12
301433	1	54168	1300	15
301434	0	0	0	12
301435	1	3626	166	11
301436	1	23991	5520	12
301437	0	9535	400	12
301439	0	10257	3056	12
301440	1	5976	0	10
301442	1	17914	0	12
301443	1	1057	0	9
301444	0	2349	5500	14
301446	0	12897	1800	12
301447	1	231	1995	11
301452	1	7155	0	12
301454	1	1347	0	14
301458	1	38670	15000	12
301465	1	0	4320	8
301467	1	20323	1300	16
301469	0	14572	3500	12
301471	1	15357	4226	12
301474	0	42282	11000	10
301475	0	204	1500	11
301476	1	7493	0	12
301477	0	12812	1250	12
301478	0	0	3000	12
301480	1	1035	0	9
301481	1	0	195	12
301482	1	43977	500	12
301483	1	4684	9000	11
301485	0	86242	8475	12
301487	1	1744	0	8
301488	0	54336	5000	8
301491	1	14847	200	12
301492	0	0	0	12
301494	0	21152	10000	12
301495	1	354	6000	12
301498	0	35770	7000	14
301502	1	4921	2000	12
301507	1	0	187	12
301509	1	14180	3000	11
301510	1	4622	2000	10
301513	1	31565	320	12
301514	0	50781	0	8
301516	0	174	0	12
301517	0	33618	13500	12
301519	1	8392	9245	11
301520	1	7402	4746	11
301521	1	17905	2409	14
301523	0	1347	0	8
301524	1	152	75	12
301527	1	10398	0	12
301532	1	1764	0	12
301538	1	38567	2000	12
301545	0	42231	10238	12
301546	1	33852	1209	14
301547	1	5955	0	10
301548	1	42	5200	12
301549	0	0	0	11
301554	0	51	0	11
301561	1	13647	2400	12
301562	0	54377	12000	14
301563	0	2640	5633	10
301564	0	35199	3000	8
301566	0	10709	8560	15
301567	1	9546	0	12
301568	0	21675	300	12
301569	1	1629	7675	12
301573	1	33165	934	15
301574	0	15062	1300	8
301581	0	0	0	7
301583	1	759	0	10
301584	1	0	4800	14
301588	0	1488	9700	12
301589	1	24425	0	12
301590	0	3711	4600	13
301594	1	5981	0	11
301596	1	46570	6800	14
301597	1	294	5000	10
301600	1	16890	0	12
301604	1	129	0	10
301605	1	45734	200	17
301608	1	11235	9000	12
301615	1	1461	400	11
301616	1	14866	1000	10
301619	1	40745	10000	10
301620	1	0	0	16
301622	1	6061	0	12
301626	1	2529	3000	11
301628	1	0	265	12
301630	1	0	0	9
301631	1	3624	313	9
301634	0	33285	800	13
301635	1	0	0	11
301636	0	13998	1985	17
301637	1	0	0	9
301640	0	10311	2746	15
301643	0	1833	0	9
301644	1	414	13000	12
301645	0	48288	0	14
301646	0	43779	26000	12
301648	0	0	1800	12
301649	1	40139	2191	8
301651	0	2026	6000	12
301652	0	22569	9000	12
301656	1	2454	0	9
301662	1	1257	200	11
301663	1	36739	4200	11
301664	1	1366	3000	18
301665	1	24621	685	8
301666	0	6521	0	11
301670	0	0	200	12
301674	0	14130	2000	12
301678	1	22920	0	11
301681	0	21804	0	12
301682	0	4800	360	11
301683	0	5074	5000	12
301686	1	14936	800	9
301687	1	10005	7570	13
301688	1	0	0	12
301691	1	4491	0	13
301693	1	0	0	10
301694	1	46491	98	13
301696	0	26496	0	12
301698	1	2647	900	10
301700	1	972	4200	12
301701	1	0	2500	13
301702	1	55365	0	12
301707	1	18806	2000	10
301708	1	1219	2000	12
301712	0	2517	4500	13
301713	0	25996	4000	12
301715	0	29522	1500	10
301716	1	257	634	9
301718	0	10445	0	17
301720	1	2136	0	12
301722	1	18121	3628	10
301728	0	32103	0	12
301729	1	36861	900	13
301733	1	20857	9120	12
301734	1	1797	700	14
301737	1	8551	0	12
301738	1	0	0	8
301739	0	14220	0	14
301741	1	14889	0	12
301744	0	6668	1615	10
301747	1	95	0	10
301751	1	0	1000	10
301752	0	5145	0	8
301756	1	68929	1050	11
301757	0	20865	5600	9
301760	1	26010	1300	13
301761	1	21123	1968	12
301763	1	0	0	11
301764	1	20	36	10
301767	0	2472	0	10
301772	1	25266	0	12
301773	1	7916	5000	9
301776	0	11741	10400	12
301777	1	8115	360	12
301782	1	1058	0	10
301784	1	20028	9000	8
301785	1	68358	0	8
301789	1	25339	3000	10
301790	1	21411	1148	8
301794	0	23469	10751	12
301796	1	23579	16500	12
301797	0	6309	9629	11
301798	1	6768	0	9
301800	1	0	0	9
301804	1	0	55	10
301805	0	579	8000	10
301806	0	13965	6000	12
301807	0	9148	3480	10
301808	1	0	0	16
301810	1	31489	11000	16
301813	1	1276	1720	8
301814	0	10370	0	10
301815	0	10620	75	12
301818	1	43366	600	8
301819	1	4569	0	12
301822	0	1383	1700	11
301831	0	13871	120	12
301835	1	5047	500	13
301837	0	38036	3600	12
301839	1	34735	7000	16
301840	1	82797	17398	12
301841	1	42294	3500	12
301844	1	31852	6000	12
301852	0	6641	1400	10
301854	1	9824	0	16
301855	1	14258	0	10
301861	0	20595	0	12
301863	0	4821	9000	14
301864	0	0	0	12
301867	1	26220	637	12
301869	0	65513	10000	14
301873	0	0	0	16
301874	0	4167	5588	9
301876	1	1086	1712	10
301877	1	1932	2000	8
301879	0	16931	1400	17
301880	1	7921	2000	12
301881	1	0	7000	12
301882	1	9383	6000	11
301883	0	8272	6000	12
301884	1	0	50	11
301886	1	14896	2400	9
301893	0	23322	400	12
301894	1	4380	0	12
301897	1	17166	15850	12
301902	1	19464	0	10
301915	1	1881	0	12
301916	1	9029	100	11
301917	0	2233	0	12
301918	0	33567	4000	12
301921	1	586	10000	12
301926	1	27914	2000	15
301928	1	8637	4913	12
301933	0	0	0	8
301934	1	14896	272	12
301936	1	2495	4000	10
301939	0	1002	690	12
301940	0	11743	5680	13
301941	0	7385	1470	14
301942	1	0	0	10
301945	0	11187	2000	12
301946	0	16648	3906	14
301948	1	25977	22274	12
301954	0	11011	6240	8
301957	1	225	0	12
301960	1	0	42	9
301970	1	10022	5400	12
301972	0	70239	4000	16
301975	1	18486	0	12
301976	1	16352	6000	12
301981	1	30643	9100	11
301986	1	6452	0	12
301987	0	660	0	10
301992	1	2137	3867	12
301994	1	8347	6040	12
301996	0	24105	5314	13
301998	1	23970	4000	12
302001	0	3351	0	10
302006	0	2046	2000	9
302010	1	11862	0	10
302011	0	1238	0	12
302012	0	24171	3896	15
302014	0	65536	3150	12
302016	0	12040	2300	12
302019	1	11755	7680	9
302020	1	24102	8000	7
302022	1	0	2526	16
302023	1	459	0	9
302024	0	15277	1900	8
302026	1	21761	3000	10
302027	1	1254	0	12
302029	1	34291	9000	12
302030	0	27057	6000	12
302031	0	27651	0	11
302032	0	26448	8000	12
302039	1	0	800	10
302042	1	1506	0	12
302044	1	46890	13000	14
302046	1	24387	1232	12
302048	0	15141	140	12
302050	0	13021	0	10
302052	1	8147	3000	12
302053	0	33204	1152	8
302054	1	23076	0	11
302058	1	11829	100	12
302059	0	0	0	12
302060	0	0	5000	12
302062	1	26355	0	12
302063	1	17973	5156	12
302064	1	0	0	12
302065	0	0	0	12
302067	1	10784	2000	12
302071	0	39917	1600	11
302072	1	29744	289	8
302073	1	15633	2505	8
302074	0	2949	0	12
302075	0	4557	1216	14
302076	1	155760	45000	14
302077	1	264	5000	12
302078	0	11478	0	8
302083	0	50916	9000	13
302086	0	1383	0	14
302087	1	40308	8640	16
302088	1	732	98	11
302092	0	14173	0	12
302095	1	15759	8400	12
302097	1	27627	8000	12
302100	1	24112	14000	8
302101	0	17205	3000	12
302109	0	15711	13000	13
302110	0	1791	1614	9
302114	1	1887	2900	12
302117	1	7563	900	8
302118	1	7414	0	9
302122	1	14042	1200	11
302123	1	3155	3132	12
302124	0	45399	5500	12
302126	1	0	5000	9
302127	0	0	0	16
302128	0	1795	4000	11
302129	1	0	14000	14
302131	1	4308	2400	10
302134	1	12462	85	14
302135	1	8532	2482	11
302139	0	0	0	8
302140	1	1976	2400	13
302141	0	57072	0	10
302142	0	36268	0	11
302147	1	7785	2870	13
302148	1	27504	4000	10
302150	1	4005	2400	12
302153	1	8070	1200	12
302154	0	28236	7000	12
302156	1	37972	5200	12
302158	1	63663	1000	12
302161	1	10099	3000	12
302163	0	15802	4650	12
302164	1	17802	7800	12
302166	1	18089	4053	12
302167	1	7665	6000	17
302171	1	228	0	12
302172	0	1275	2079	12
302177	1	51054	15250	12
302178	0	0	0	7
302180	0	10761	0	12
302185	0	32355	18000	11
302186	0	8241	0	12
302188	1	20460	1800	12
302191	0	14990	0	17
302193	1	7133	19500	11
302195	1	21083	9368	10
302196	0	12161	0	12
302199	0	1464	1000	10
302204	1	21762	5000	18
302207	1	21768	10704	12
302208	0	15362	7000	14
302210	0	933	753	12
302211	1	34011	800	12
302214	1	216	0	9
302220	0	23745	0	14
302221	1	29447	2000	14
302223	1	7668	0	10
302226	1	297	0	12
302227	1	19123	9677	12
302229	1	4574	1600	11
302230	0	49599	6444	12
302231	1	33135	1200	12
302234	1	15690	2600	12
302237	1	33677	11921	17
302240	0	9297	500	12
302241	1	1833	3000	11
302252	1	41023	0	13
302253	1	22499	0	12
302254	1	17841	0	12
302270	1	50271	7200	13
302272	1	19960	26000	12
302273	1	37030	3840	12
302277	1	24	500	13
302278	1	3399	1648	8
302279	1	8603	2500	13
302280	1	28264	300	9
302281	0	0	0	12
302289	1	180	0	11
302293	1	12811	6390	12
302297	1	31617	10000	12
302301	1	32883	7000	12
302302	1	4596	6000	12
302306	0	21740	7600	8
302309	1	33792	300	12
302310	1	45914	11477	12
302312	1	12027	1517	12
302317	0	1569	2700	12
302318	0	31341	7500	9
302320	0	22908	2328	12
302321	1	39233	404	15
302322	1	522	0	10
302323	1	795	2000	12
302324	1	1689	0	12
302329	0	9618	0	12
302336	1	45063	5000	14
302338	1	426	4000	12
302339	1	6739	900	12
302343	1	43510	5000	12
302346	0	427	7000	12
302347	1	15410	0	12
302348	1	43527	10000	12
302349	1	9492	3000	12
302352	0	1296	733	8
302356	1	381	0	12
302359	0	8824	13212	13
302360	1	1681	0	9
302361	0	8826	0	12
302362	0	32483	8000	14
302363	1	2604	0	13
302364	0	41595	20000	11
302366	1	2990	0	9
302369	0	6055	6668	11
302370	1	0	1000	10
302371	1	7112	2400	9
302373	1	803	0	8
302377	1	29141	18000	14
302379	1	30678	3000	13
302382	1	21233	0	10
302383	1	0	0	12
302386	1	17087	1576	12
302387	1	55396	8800	12
302389	1	12375	2150	12
302391	0	22173	5873	11
302392	1	54079	12000	12
302393	0	1482	0	10
302394	1	46545	0	11
302396	1	4569	375	11
302397	0	3435	0	11
302398	1	0	1100	14
302402	1	29319	5130	12
302404	0	21060	400	11
302405	1	1419	3840	12
302408	0	10167	299	9
302409	1	0	2350	11
302411	0	552	2100	17
302415	1	4366	1300	10
302416	0	2812	4500	11
302417	1	1821	0	10
302421	0	2346	800	11
302422	0	29728	606	12
302423	0	502	4572	12
302426	1	656	0	8
302427	0	5292	2300	11
302430	1	38859	364	11
302434	1	0	3000	12
302435	1	1491	3500	12
302439	0	0	0	13
302440	1	1656	0	11
302441	1	53796	8060	12
302442	0	77984	12000	12
302443	0	26163	0	8
302446	1	10707	5800	10
302449	1	11635	9800	11
302450	1	7389	5571	12
302451	0	176	3284	12
302452	1	33354	0	8
302454	1	0	0	17
302457	1	189	0	8
302458	0	21300	3000	12
302460	1	5220	0	8
302461	0	30420	4000	12
302463	0	10500	500	14
302465	1	35812	14500	12
302466	0	2279	2240	12
302468	1	825	0	13
302474	0	13197	174	12
302477	1	9474	3000	12
302478	1	7551	4950	12
302479	1	11646	2000	12
302481	1	1740	0	11
302483	1	22478	1017	12
302486	1	5995	4025	11
302487	1	13043	1000	14
302488	1	9173	1500	11
302496	0	22296	840	8
302497	1	1092	7200	11
302498	0	2206	9000	14
302503	0	20664	3300	10
302504	1	2895	0	13
302507	1	5887	124	10
302510	1	0	500	12
302511	1	5152	0	12
302512	1	585	3500	10
